brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
比亚迪,海狮06EV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/2f4d4de44df0441383cd118517635fda~tplv-resize:640:0.png?psm=motor.rank.data,20956,"[14.38, 16.38]",比亚迪,15,中型SUV,纯电动,2025.07,6年或15万公里
丰田,凯美瑞,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c9f5aa2789ee431883f912465dad6047~tplv-resize:640:0.png?psm=motor.rank.data,20517,"[17.18, 25.98]",广汽丰田,16,中型车,汽油,2025.07,3年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5f69378961354324b2c55d5a917661f4~tplv-resize:640:0.png?psm=motor.rank.data,20352,"[23.55, 33.95]",特斯拉中国,17,中型车,纯电动,2025.10,4年或8万公里
丰田,RAV4荣放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/aaf3143e1177415eb37359b9df0ca35d~tplv-resize:640:0.png?psm=motor.rank.data,19712,"[12.38, 19.28]",一汽丰田,18,紧凑型SUV,汽油,2024.09,3年或10万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2e2a77aae04d47f592ec2f01d93780a9~tplv-resize:640:0.png?psm=motor.rank.data,19579,"[21.59, 29.99]",小米汽车,19,中大型车,纯电动,2024.03,5年或10万公里
大众,途观L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/531775569f224f82a4f363c9ae6461f7~tplv-resize:640:0.png?psm=motor.rank.data,19441,"[14.58, 26.68]",上汽大众,20,中型SUV,汽油,2025.09,3年或10万公里
大众,帕萨特,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png?psm=motor.rank.data,18592,"[15.99, 30.98]",上汽大众,21,中型车,汽油,2025.09,3年或10万公里
长安,逸动,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e0d9676066014f75a9f63c3a74d969ef~tplv-resize:640:0.png?psm=motor.rank.data,18224,"[3.99, 8.49]",长安汽车,22,紧凑型车,汽油,2025.09,3年或10万公里
吉利汽车,星越L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,17869,"[12.97, 16.67]",吉利汽车,23,紧凑型SUV,汽油,2025.09,5年或15万公里
比亚迪,秦L DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bd39ba753b9c4393b21bd28ad5603bed~tplv-resize:640:0.png?psm=motor.rank.data,17734,"[8.78, 14.38]",比亚迪,24,中型车,插电式混合动力,2025.02,6年或15万公里
大众,迈腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png?psm=motor.rank.data,17613,"[13.98, 22.39]",一汽-大众,25,中型车,汽油,2025.10,3年或10万公里
哈弗,哈弗大狗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/413defba9aa74f2892f7f7ced70ce53a~tplv-resize:640:0.png?psm=motor.rank.data,17524,"[9.09, 12.49]",长城汽车,26,紧凑型SUV,汽油,2025.07,3年或10万公里
比亚迪,海豹06DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/95f3af7983e74c418ed01255d3238efa~tplv-resize:640:0.png?psm=motor.rank.data,17296,"[8.78, 13.18]",比亚迪,27,中型车,插电式混合动力,2025.02,6年或15万公里
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/9bae5a357d244e0fbef2d9d35d1dad81~tplv-resize:640:0.png?psm=motor.rank.data,16011,"[31.24, 55.89]",一汽奥迪,28,中大型车,汽油,2025.10,3年或10万公里
大众,探岳,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/59238f446c094ac786ce6900909f6fe5~tplv-resize:640:0.png?psm=motor.rank.data,15999,"[14.69, 22.69]",一汽-大众,29,中型SUV,汽油,2025.09,3年或10万公里
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9806ab780da34d2897aeb01e830b1794~tplv-resize:640:0.png?psm=motor.rank.data,15737,"[9.08, 14.88]",一汽丰田,30,紧凑型SUV,汽油,2024.06,3年或10万公里
奇瑞,瑞虎8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d021bb41298c4273b67003fdef0e146b~tplv-resize:640:0.png?psm=motor.rank.data,15656,"[7.99, 15.99]",奇瑞汽车,31,中型SUV,汽油,2024.09,3年或10万公里
小鹏汽车,小鹏MONA M03,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0ccd41905bb54e38a0364c8d3d353647~tplv-resize:640:0.png?psm=motor.rank.data,14424,"[11.98, 13.98]",小鹏汽车,32,紧凑型车,纯电动,2025.05,5年或12万公里
本田,本田CR-V,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/541410e4d8134f54ab910e4d8fc59005~tplv-resize:640:0.png?psm=motor.rank.data,14345,"[14.09, 21.89]",东风本田,33,紧凑型SUV,汽油,2025.09,3年或10万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png?psm=motor.rank.data,14096,"[11.48, 17.08]",一汽红旗,34,中型车,汽油,2024.09,4年或10万公里
吉利汽车,缤越,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.rank.data,13968,"[5.88, 8.68]",吉利汽车,35,小型SUV,汽油,2024.07,4年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0b690e1df2264d458f4fd54c6a0af971~tplv-resize:640:0.png?psm=motor.rank.data,13715,"[12.58, 18.48]",广汽丰田,36,紧凑型SUV,汽油,2025.09,3年或10万公里
奇瑞,艾瑞泽8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c98a0ac532b542958b9970362fa2c378~tplv-resize:640:0.png?psm=motor.rank.data,13640,"[8.99, 12.89]",奇瑞汽车,37,紧凑型车,汽油,2025.03,3年或10万公里
比亚迪,宋Pro DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/37e8e497ea194f32804dd131b571249d~tplv-resize:640:0.png?psm=motor.rank.data,13542,"[8.98, 12.58]",比亚迪,38,紧凑型SUV,插电式混合动力,2025.02,6年或15万公里
本田,雅阁,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8fb97d323f40418e817aacb90ae8f644~tplv-resize:640:0.png?psm=motor.rank.data,13230,"[13.68, 19.58]",广汽本田,39,中型车,汽油,2025.03,3年或10万公里
深蓝汽车,深蓝S05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7a0815248ed74d30931d95eb907b6b6a~tplv-resize:640:0.png?psm=motor.rank.data,13163,"[11.59, 14.59]",深蓝汽车,40,紧凑型SUV,纯电动,2025.08,3年或12万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,13103,"[43.18, 57.98]",北京奔驰,41,中大型车,48V轻混系统,2025.03,3年不限公里
吉利银河,熊猫,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/78ca006700884c30ad75d407f626e606~tplv-resize:640:0.png?psm=motor.rank.data,13058,"[2.89, 4.69]",吉利银河,42,微型车,纯电动,2025.04,3年或12万公里
吉利银河,银河A7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4f70bedcadc84fd99dac424c7e4d4b07~tplv-resize:640:0.png?psm=motor.rank.data,13027,"[8.18, 11.78]",吉利银河,43,中型车,插电式混合动力,2025.08,6年或15万公里
别克,昂科威,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dc18eb3ac0974de39301da05d78203e4~tplv-resize:640:0.png?psm=motor.rank.data,12772,"[16.99, 19.99]",上汽通用别克,44,中型SUV,汽油,2025.09,3年或10万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fbd6a7c598d4e2c8edfe0d08b6179c0~tplv-resize:640:0.png?psm=motor.rank.data,12663,"[11.18, 15.18]",零跑汽车,45,中型SUV,增程式,2025.05,4年或12万公里
比亚迪,元PLUS,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0a5f95e3492e4cf6b15953b57949fe48~tplv-resize:640:0.png?psm=motor.rank.data,12661,"[10.38, 13.98]",比亚迪,46,紧凑型SUV,纯电动,2025.03,6年或15万公里
比亚迪,海豹05DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/6df1594168fd4c91a5a246a6371ab175~tplv-resize:640:0.png?psm=motor.rank.data,12653,"[7.18, 9.58]",比亚迪,47,紧凑型车,插电式混合动力,2025.10,6年或15万公里
零跑汽车,零跑B01,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5be73db764e24be994db9929909433f4~tplv-resize:640:0.png?psm=motor.rank.data,12652,"[8.98, 11.98]",零跑汽车,48,紧凑型车,纯电动,2025.07,4年或12万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8a3daca02bc04bfea188f572f278aaf6~tplv-resize:640:0.png?psm=motor.rank.data,12569,"[22.3, 28.7]",华晨宝马,49,中型车,汽油,2024.09,3年或10万公里
大众,途岳,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c33c6674860948149e5d808e05ae222d~tplv-resize:640:0.png?psm=motor.rank.data,12371,"[7.99, 16.49]",上汽大众,50,紧凑型SUV,汽油,2025.08,3年或10万公里
奔腾,奔腾小马,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d9b1ba6a4c814c4db94dcd4eb54fe36e~tplv-resize:640:0.png?psm=motor.rank.data,12365,"[2.49, 5.39]",一汽奔腾,51,微型车,纯电动,2025.07,3年或10万公里
理想汽车,理想L6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0cd0f362cc6440b4aff4feed0532f12f~tplv-resize:640:0.png?psm=motor.rank.data,12325,"[24.98, 27.98]",理想汽车,52,中大型SUV,增程式,2025.04,5年或10万公里
奥迪,奥迪Q5L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/a56d9f6ed52742a1a285b07e14d7b0bd~tplv-resize:640:0.png?psm=motor.rank.data,12315,"[26.93, 33.09]",一汽奥迪,53,中型SUV,汽油,2025.02,3年或10万公里
丰田,威兰达,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f81c60b3512f4732baf8f9b8d3fc4fc1~tplv-resize:640:0.png?psm=motor.rank.data,12166,"[17.38, 26.48]",广汽丰田,54,紧凑型SUV,汽油,2024.05,3年或10万公里
比亚迪,海狮05EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a1e7a25db465482d97f57c3153fad07b~tplv-resize:640:0.png?psm=motor.rank.data,12067,"[11.78, 13.78]",比亚迪,55,紧凑型SUV,纯电动,2025.03,6年或15万公里
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png?psm=motor.rank.data,12060,"[8.99, 13.49]",长安汽车,56,紧凑型SUV,汽油,2025.03,3年或10万公里
名爵,MG4,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/060d2565ceea40fca95c269f4a69aca6~tplv-resize:640:0.png?psm=motor.rank.data,11790,"[6.58, 9.98]",上汽集团,57,紧凑型车,纯电动,2025.08,6年或15万公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b47ec0be1ba940aa8e02b93784b6949e~tplv-resize:640:0.png?psm=motor.rank.data,11640,"[13.58, 21.38]",一汽丰田,58,中型车,汽油,2024.07,3年或10万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e8b4e398af9d4c8ea7656766509bc7d2~tplv-resize:640:0.png?psm=motor.rank.data,11600,"[36.78, 47.13]",北京奔驰,59,中型SUV,48V轻混系统,2024.11,3年不限公里
哈弗,哈弗猛龙PHEV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/213983851d424486ae8ad8908171174d~tplv-resize:640:0.png?psm=motor.rank.data,11141,"[14.58, 18.88]",长城汽车,60,紧凑型SUV,插电式混合动力,2025.08,6年或15万公里
乐道,乐道L90,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f3b81a81645946f08f21d23aa1d35f44~tplv-resize:640:0.png?psm=motor.rank.data,10997,"[26.58, 29.98]",蔚来,61,大型SUV,纯电动,2025.07,4年或10万公里
零跑汽车,零跑C11,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/9fe2e951084c42b08cd13db2b3c235d5~tplv-resize:640:0.png?psm=motor.rank.data,10779,"[12.88, 18.58]",零跑汽车,62,中型SUV,增程式,2025.07,4年或12万公里
AITO,问界M9,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cba1a983417940e1bc8cc282ffa9b846~tplv-resize:640:0.png?psm=motor.rank.data,10503,"[46.98, 58.98]",赛力斯汽车,63,大型SUV,增程式,2025.03,4年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e8abf034d5504085a9850c7b7632b065~tplv-resize:640:0.png?psm=motor.rank.data,10430,"[26.68, 32.06]",北京奔驰,64,中型车,48V轻混系统,2024.09,3年不限公里
长安启源,长安启源Q07,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4faa862b8d9f453e9d69ac02b418f912~tplv-resize:640:0.png?psm=motor.rank.data,10192,"[11.98, 16.68]",长安启源,65,中型SUV,插电式混合动力,2025.05,6年或15万公里
捷途,捷途X70,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b201641562bd47e39c33bd0dc2e0aeb5~tplv-resize:640:0.png?psm=motor.rank.data,10187,"[8.69, 14.99]",奇瑞汽车,66,中型SUV,汽油,2025.01,4年或10万公里
吉利银河,银河E5,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/7dfb9003d5cd4fac8050640893630cc1~tplv-resize:640:0.png?psm=motor.rank.data,10182,"[9.78, 17.98]",吉利银河,67,紧凑型SUV,纯电动,2025.07,6年或15万公里
比亚迪,海豹06EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/60d5d7a5220146afa8e26c9f5fcee442~tplv-resize:640:0.png?psm=motor.rank.data,10163,"[10.98, 12.98]",比亚迪,68,中型车,纯电动,2025.06,6年或15万公里
比亚迪,宋L DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/66452ad192f94bdc901d85a1f50d1ce0~tplv-resize:640:0.png?psm=motor.rank.data,10161,"[11.58, 15.98]",比亚迪,69,中型SUV,插电式混合动力,2025.02,6年或15万公里
ARCFOX极狐,极狐T1,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8c49609f761840fc8742c0a59f12fba7~tplv-resize:640:0.png?psm=motor.rank.data,10096,"[6.28, 8.78]",北汽新能源,70,小型车,纯电动,2025.09,5年或12万公里
吉利银河,银河星耀8 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9725a30895f04bf1927b06f59f8a4324~tplv-resize:640:0.png?psm=motor.rank.data,10018,"[11.58, 15.58]",吉利银河,71,中大型车,插电式混合动力,2025.05,6年或15万公里
奇瑞风云,风云A9L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/e958401ee7684f5bbf5d5a1de1c905d1~tplv-resize:640:0.png?psm=motor.rank.data,10007,"[13.99, 19.79]",奇瑞汽车,72,中大型车,插电式混合动力,2025.07,3年或10万公里
本田,皓影,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/adf3499684444e6d98ae7a0dc8c0edaf~tplv-resize:640:0.png?psm=motor.rank.data,9954,"[14.09, 22.59]",广汽本田,73,紧凑型SUV,汽油,2024.10,3年或10万公里
五菱汽车,五菱缤果,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8a82589d0fbf4119a29b97b77dc96d62~tplv-resize:640:0.png?psm=motor.rank.data,9841,"[5.18, 8.48]",上汽通用五菱,74,小型车,纯电动,2025.04,3年或10万公里
零跑汽车,零跑B10,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/37728f4ddf574234b6b4cba25ab3e26a~tplv-resize:640:0.png?psm=motor.rank.data,9777,"[9.68, 12.68]",零跑汽车,75,紧凑型SUV,纯电动,2025.04,4年或12万公里
比亚迪,秦L EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/85588b26d46b44a9b56e5291a42dfcd0~tplv-resize:640:0.png?psm=motor.rank.data,9648,"[10.98, 12.98]",比亚迪,76,中型车,纯电动,2025.03,6年或15万公里
长安,长安X5 PLUS,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cd244d8b1ce74e41adac4d863c8e6350~tplv-resize:640:0.png?psm=motor.rank.data,9643,"[5.99, 8.39]",长安汽车,77,紧凑型SUV,汽油,2025.08,3年或10万公里
比亚迪,海狮06DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3440576f141742a5a3bb1c8340b549f5~tplv-resize:640:0.png?psm=motor.rank.data,9576,"[13.98, 15.68]",比亚迪,78,中型SUV,插电式混合动力,2025.07,6年或15万公里
零跑汽车,零跑C16,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3a7e8d9383f14f67a0d76a57231764be~tplv-resize:640:0.png?psm=motor.rank.data,9571,"[14.68, 18.18]",零跑汽车,79,中大型SUV,增程式,2025.06,4年或12万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3964028127a0462c97d2611cd8e1a0a1~tplv-resize:640:0.png?psm=motor.rank.data,9087,"[32.1, 39.1]",华晨宝马,80,中大型车,48V轻混系统,2025.09,3年或10万公里
丰田,铂智3X,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/544685d712e349faafa14a89c6e0755b~tplv-resize:640:0.png?psm=motor.rank.data,9017,"[10.98, 15.98]",广汽丰田,81,紧凑型SUV,纯电动,2025.03,3年或10万公里
方程豹,钛3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5f2d6746ab5f42008c8cd9de54c5e038~tplv-resize:640:0.png?psm=motor.rank.data,8902,"[13.38, 17.78]",方程豹,82,紧凑型SUV,纯电动,2025.04,6年或15万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bea43ec45387461aa6579a7566a40a51~tplv-resize:640:0.png?psm=motor.rank.data,8849,"[8.98, 16.38]",比亚迪,83,紧凑型车,纯电动,2025.09,6年或15万公里
荣威,荣威i5,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4b96326cb76b40369887d7b011aae241~tplv-resize:640:0.png?psm=motor.rank.data,8686,"[6.09, 12.58]",上汽集团,84,紧凑型车,汽油,2025.09,4年或15万公里
吉利银河,银河星舰7 EM-i,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5b2555ddc28b4e81b37c0508d728d609~tplv-resize:640:0.png?psm=motor.rank.data,8347,"[8.78, 12.08]",吉利银河,85,紧凑型SUV,插电式混合动力,2024.12,6年或15万公里
丰田,赛那,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0c4126f4e19f4486ab824f4c0abb7a95~tplv-resize:640:0.png?psm=motor.rank.data,8168,"[29.98, 39.38]",广汽丰田,86,中大型MPV,油电混合,2025.09,3年或10万公里
方程豹,钛7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3bb475c050b541e494e0fc3c10da4d40~tplv-resize:640:0.png?psm=motor.rank.data,8128,"[17.98, 21.98]",方程豹,87,中大型SUV,插电式混合动力,2025.09,6年或15万公里
小鹏汽车,小鹏P7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7d0261ff50644213b56f6982fdacab0c~tplv-resize:640:0.png?psm=motor.rank.data,8104,"[21.98, 30.18]",小鹏汽车,88,中大型车,纯电动,2025.08,5年或12万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3fea5faf655a4b34b2723919692b035e~tplv-resize:640:0.png?psm=motor.rank.data,7998,"[28.6, 37.2]",华晨宝马,89,中型SUV,汽油,2025.08,3年或10万公里
长安,长安UNI-Z PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/391edb3a4abb4911bd357bc4593df474~tplv-resize:640:0.png?psm=motor.rank.data,7871,"[9.99, 11.89]",长安汽车,90,紧凑型SUV,插电式混合动力,2025.02,3年或12万公里
魏牌,高山,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/3e053a30457d49f28e59bf745833fb6a~tplv-resize:640:0.png?psm=motor.rank.data,7768,"[28.58, 35.38]",长城汽车,91,中大型MPV,插电式混合动力,2025.10,6年或15万公里
iCAR,iCAR超级V23,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/959c9eb6f8714cf5823571356a65320a~tplv-resize:640:0.png?psm=motor.rank.data,7679,"[10.98, 17.48]",奇瑞新能源,92,紧凑型SUV,纯电动,2025.09,5年或12万公里
奥迪,奥迪A4L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/da440185e7f349d6b0d58938facb129d~tplv-resize:640:0.png?psm=motor.rank.data,7638,"[20.92, 28.66]",一汽奥迪,93,中型车,汽油,2025.02,3年或10万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ab8b7403cc8b4fb9a988e66dc53d5163~tplv-resize:640:0.png?psm=motor.rank.data,7424,"[13.88, 20.48]",一汽红旗,94,中型SUV,汽油,2025.08,4年或10万公里
日产,逍客,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b0ba10f07d0747ab9af74e9bac6acaf9~tplv-resize:640:0.png?psm=motor.rank.data,7380,"[9.88, 14.08]",东风日产,95,紧凑型SUV,汽油,2025.07,3年或10万公里
领克,领克900,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2aca42e69f824d708b86d79f36e71e83~tplv-resize:640:0.png?psm=motor.rank.data,7319,"[28.99, 39.69]",领克,96,大型SUV,插电式混合动力,2025.04,5年或10万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0bd351ca4fbb43e88ce265d8f0b869fb~tplv-resize:640:0.png?psm=motor.rank.data,7296,"[8.97, 13.67]",吉利汽车,97,紧凑型车,汽油,2025.09,4年或10万公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a3a4ec96429e4371b4ade1e7ee846f09~tplv-resize:640:0.png?psm=motor.rank.data,7118,"[6.98, 12.88]",比亚迪,98,紧凑型车,插电式混合动力,2025.05,1年或10万公里
丰田,卡罗拉,https://p9-dcd.byteimg.com/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png?psm=motor.rank.data,7107,"[7.78, 11.68]",一汽丰田,99,紧凑型车,汽油,2024.07,3年或10万公里
别克,别克GL8 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bd3282d79812431f969493d86f94c9b5~tplv-resize:640:0.png?psm=motor.rank.data,7017,"[24.99, 39.99]",上汽通用别克,100,中大型MPV,插电式混合动力,2025.08,3年或10万公里
大众,宝来,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/6569140387014329aaee5c92ae4a3fa1~tplv-resize:640:0.png?psm=motor.rank.data,6982,"[7.99, 11.09]",一汽-大众,101,紧凑型车,汽油,2024.10,3年或10万公里
广汽传祺,传祺GS3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9bd75ad6814541c1a3692ae64670405d~tplv-resize:640:0.png?psm=motor.rank.data,6903,"[6.58, 8.88]",广汽传祺,102,小型SUV,汽油,2025.04,3年或10万公里
腾势,腾势D9 DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/257a11ae6dd04cf7804d49fe09dc826f~tplv-resize:640:0.png?psm=motor.rank.data,6500,"[30.98, 60.06]",腾势汽车,103,中大型MPV,插电式混合动力,2025.08,6年或15万公里
